OriginStopId;DestinationStopId;Distance
40210;40208;356
21898;21896;355
41023;41025;301
10323;10554;270
12529;12524;204
21194;21116;467
11433;11434;155
31201;31203;140
10671;10673;510
1000221;1000234;2386
10119;10225;241
13625;13937;532
40653;40619;325
20046;20044;603
51211;51213;626
30582;30013;401
22052;22050;268
40177;40337;233
11556;11554;268
30351;30353;1877
12215;12217;362
40327;40329;326
21861;21863;561
41212;41210;380
10036;10119;1327
50184;10204;1353
10322;10215;369
50724;50108;166
21709;21711;472
30554;30005;362
11840;11828;305
40867;40854;271
22353;22350;247
10631;12597;486
12911;12913;119
10356;10087;651
21592;21590;538
40640;40612;253
10519;10521;310
30045;30047;294
11014;11012;442
20570;20484;386
12316;12290;403
50667;50669;624
13560;13558;722
31353;31355;197
31743;31745;254
20660;20658;221
10365;10367;290
50092;50090;522
11285;11287;135
31697;31635;393
10573;10363;441
30811;30813;914
10153;10157;543
40563;40565;660
21802;21806;232
30626;30610;287
20185;20031;783
20340;20344;628
31047;31049;174
50398;50396;518
21356;21354;223
22012;20857;255
31437;31439;302
40267;40271;410
31000;30998;377
51164;51162;283
31154;31152;599
13003;12961;300
13866;13864;3877
11809;11802;242
31813;31815;366
10809;10825;409
11104;10960;479
30284;22220;869
31590;31592;267
50821;50823;331
10248;10246;288
10997;11143;650
50713;13255;964
30741;30743;573
12794;12792;187
20297;20335;1267
13924;13596;226
10095;10213;583
12304;12270;381
21805;21801;235
50940;50600;316
40140;40138;316
21626;21402;872
21083;21085;271
12948;12946;289
20284;20282;215
30421;30423;398
22141;20855;499
30895;30897;165
50209;50211;455
40138;40001;310
11874;10469;402
30806;30784;699
10688;10676;1596
11231;10807;194
21915;22237;954
50380;50091;413
10367;14351;292
50599;50939;330
31271;31279;390
12182;12180;276
12210;12294;495
40939;40941;886
12981;12983;247
12272;12303;693
22291;21929;803
30765;30769;363
50314;50312;314
13942;13638;692
30930;30928;189
21555;21557;368
21551;21552;279
30129;30131;389
21235;21237;322
11839;11841;286
50620;50618;1573
30788;30854;340
50692;50682;732
41149;12043;191
22408;21944;364
21389;21391;398
13880;13878;182
12995;12997;269
20826;20824;264
41219;41224;932
20924;22030;293
12474;12472;340
40549;40551;218
12846;12826;153
30575;30577;275
31460;31458;214
13593;13595;1621
30063;30083;476
31431;31449;221
10625;10629;567
13783;13781;1245
10388;10386;321
50987;50989;892
50041;50043;210
11993;11995;147
11047;11049;423
11028;11026;508
40896;40892;317
11544;11542;185
20943;20945;253
12793;12768;769
21179;21181;125
10755;10757;355
51141;51143;4744
50119;50615;1100
11237;11175;498
11370;10823;452
30281;30283;334
13970;11688;462
40271;40379;492
10992;10934;1063
20341;21095;1044
40824;40828;553
21333;21335;377
20026;20263;823
51197;51199;420
41036;41038;793
11132;11140;968
31474;31472;327
40990;40988;388
12841;12843;129
50174;50172;369
30733;30719;400
50710;50715;1412
31967;31969;2325
22024;20794;409
31576;31578;2157
50973;50975;582
20580;20576;355
10811;10813;434
50412;50410;1415
51288;51283;1839
11023;11163;287
11474;11472;263
20977;22065;312
50884;50298;393
12441;13102;420
40010;40004;508
21758;21756;503
100048;100043;6167
40795;40796;215
21914;22130;347
100022;100023;8301
21403;21405;654
13721;13778;11942
12201;12203;327
40257;40259;362
41072;41070;767
10211;10227;296
30435;30437;197
30519;30521;206
11825;11827;228
40411;40413;263
14088;14086;302
11909;11911;241
21027;21029;146
21912;21910;210
41140;11952;287
30944;30942;250
12710;12708;219
21828;21826;961
32035;32037;448
50186;50192;1378
21541;21543;283
30011;31271;562
10741;10743;214
10262;10254;525
20184;20030;468
11723;11721;160
31693;31653;890
50740;50734;220
11680;10888;574
10895;10897;4564
11687;11689;287
31682;31680;1454
10322;10049;732
11755;11757;1590
21319;21321;301
30881;30883;328
31098;31096;113
51349;51351;3815
13950;13948;468
10866;10865;553
10611;10615;600
40036;40024;582
12811;12804;225
12809;12810;206
20149;20151;338
21982;21980;1693
13979;13980;382
30597;30601;613
40598;40527;310
11404;11402;521
12780;12778;237
31390;31388;395
12000;11998;214
13690;13706;3006
21611;21613;338
11107;11127;611
12154;12152;240
10210;10323;894
31451;31453;297
31900;31525;408
14354;14352;361
31953;31955;435
14006;14004;161
12540;12752;449
13504;13502;1777
10696;10706;570
11033;11241;225
12071;40001;876
10545;10544;233
10764;10762;3028
50889;50009;394
20020;20190;223
10121;10090;782
22461;22463;477
11991;12007;319
21800;21798;166
50227;50233;313
11048;11156;545
22344;22342;2556
10184;10103;1818
50431;50453;421
20492;20490;185
10561;12541;95
10325;10333;649
50188;50186;404
12268;12258;455
11271;11273;666
14123;14125;636
21832;21822;423
13843;13859;345
20392;20298;614
21094;20340;1039
10769;10771;314
13852;14308;325
20298;20296;217
20604;20602;183
30768;30767;429
30449;30451;303
10146;10020;489
50848;50850;462
40086;40070;284
21932;22292;699
14011;14013;233
12348;12346;212
21954;21952;565
30132;11878;267
12679;12739;141
13788;13787;4955
21901;22123;516
40608;40602;174
40766;40764;257
11409;13821;6757
21393;21562;305
20497;20499;108
10657;10659;1246
40437;40436;761
13922;13502;1185
50347;50349;352
51071;51073;175
30491;30493;158
21221;21223;1683
11381;11383;177
41162;41164;411
13629;13939;416
30337;30339;309
20874;20876;288
30473;30477;162
11291;11303;2433
20078;20074;238
50529;50531;327
10185;10187;547
21342;21340;287
50384;50382;286
31409;31411;106
40504;40488;271
21193;21195;279
41009;41011;1282
30867;30809;744
30762;31564;477
13427;13429;186
31404;31402;277
12766;12764;294
30560;30562;313
40724;40722;200
40064;40470;434
51080;51078;1588
50564;50562;834
50399;50403;1079
32030;32028;575
