LineId;LineNo;Name;VehicleTypeId
200;200;HAVAALANI - MAVİŞEHİR AKTARMA;1
202;202;CUMHURİYET MEYDANI - HAVAALANI;1
204;204;BORNOVA METRO - HAVALİMANI;1
720;720;TORBALI - SARNIÇ AKTARMA;1
725;725;F.ALTAY - URLA;1
730;730;F.ALTAY - SEFERİHİSAR;1
735;735;F.ALTAY - BALIKLIOVA;1
744;744;FOÇA - HATUNDERE AKTARMA;1
745;745;YENİFOÇA - BİÇEROVA AKTARMA;1
753;753;GERENKÖY - BİÇEROVA AKTARMA;1
765;765;KEMALPAŞA - EVKA3 METRO;1
766;766;ANSIZCA - KEMALPAŞA;1
770;770;TORBALI - SELÇUK;1
775;775;CUMAOVASI AKTARMA - ÖZDERE;1
776;776;CUMAOVASI AKTARMA - DOĞANBEY;1
777;777;DOĞAL YAŞAM PARKI - KARŞIYAKA;1
20051;5;NARLIDERE - ÜÇKUYULAR İSKELE;1
20061;6;ARIKENT - F.ALTAY AKTARMA;1
20071;7;F.ALTAY AKTARMA - SAHİLEVLERİ;1
20081;8;F.ALTAY AKTARMA - GÜZELBAHÇE;1
20091;9;YELKİ - ÖZZÜMRÜT EVLERİ;1
20101;10;F.ALTAY - KONAK;1
20121;12;F.ALTAY - H.PINAR METRO;1
20151;15;İNÖNÜ MAH. - KONAK;1
20161;16;VATAN MAHALLESİ - ÜÇYOL;1
20171;17;UZUNDERE TOPLU KONUTLARI - F.ALTAY AKTARMA;1
20181;18;YEŞİLYURT - KONAK;1
20191;19;ŞEHİTLER - KONAK;1
20201;20;KOOPERATİF EVLERİ - KONAK;1
20211;21;HALİL RIFAT PAŞA - KONAK;1
20231;23;UZUNDERE - KONAK;1
20241;24;F.ALTAY - KAVACIK;1
20251;25;OYUNLAR KÖYÜ - F.ALTAY;1
20271;27;ÇAMLIK - KONAK;1
20281;28;PAYAMLI - GÜZELBAHÇE;1
20291;29;KADRİYE MAH. - KONAK;1
20301;30;KAYNAK - KONAK;1
20321;32;ÇİMENTEPE SİTESİ - KONAK;1
20331;33;KADİFEKALE - KONAK;1
20341;34;ESENTEPE - KONAK;1
20351;35;BALLIKUYU - KONAK;1
