StopId;Name;CoordinateX;CoordinateY;VehicleTypeId;NeighborStops
10001;Bahribaba;27,12776;38,41539;1;10002:8.10005:15.10006:15.10007:19.10008:27.10009:31.10010:35.10011:38.10012:52.10013:47.10014:46.10015:59.10017:36.10018:56.10019:74.10020:87.10021:83.100032:219.100041:375.10143:196.10030:162.10031:172.10036:115.10037:140
10002;Bahribaba;27,12777;38,41531;1;10001:8.10005:12.10006:9.10007:11.10008:23.10009:24.10010:30.10011:32.10012:50.10013:43.10014:41.10015:54.10017:28.10018:60.10019:76.10020:89.10021:85.100032:226.100041:383.10143:196.10030:167.10031:177.10036:123.10037:147
10005;Bahribaba;27,12765;38,41529;1;10001:15.10002:12.10006:5.10007:13.10008:12.10009:20.10010:20.10011:24.10012:38.10013:33.10014:32.10015:44.10017:30.10018:50.10019:65.10020:77.10021:74.100032:231.100041:379.10143:184.10030:158.10031:168.10036:120.10037:143
10006;Bahribaba;27,12769;38,41526;1;10001:15.10002:9.10005:5.10007:8.10008:14.10009:17.10010:21.10011:23.10012:41.10013:34.10014:32.10015:45.10017:25.10018:55.10019:69.10020:81.10021:79.100032:233.100041:383.10143:188.10030:163.10031:173.10036:125.10037:147
10007;Bahribaba;27,12775;38,4152;1;10001:19.10002:11.10005:13.10006:8.10008:19.10009:14.10010:24.10011:23.10012:45.10013:36.10014:33.10015:46.10017:18.10018:63.10019:77.10020:89.10021:87.100032:237.100041:391.10143:193.10030:171.10031:181.10036:132.10037:155
10008;Bahribaba;27,12756;38,41521;1;10001:27.10002:23.10005:12.10006:14.10007:19.10009:16.10010:8.10011:14.10012:27.10013:21.10014:20.10015:32.10017:30.10018:48.10019:59.10020:70.10021:69.100032:242.100041:381.10143:174.10030:155.10031:165.10036:126.10037:146
10009;Bahribaba;27,12767;38,41509;1;10001:31.10002:24.10005:20.10006:17.10007:14.10008:16.10010:16.10011:11.10012:37.10013:26.10014:21.10015:34.10017:14.10018:64.10019:74.10020:84.10021:84.100032:250.100041:397.10143:185.10030:171.10031:181.10036:140.10037:162
10010;Bahribaba;27,12752;38,41514;1;10001:35.10002:30.10005:20.10006:21.10007:24.10008:8.10009:16.10011:8.10012:22.10013:13.10014:12.10015:24.10017:30.10018:51.10019:59.10020:69.10021:69.100032:250.100041:386.10143:170.10030:157.10031:167.10036:132.10037:151
10011;Bahribaba;27,12756;38,41507;1;10001:38.10002:32.10005:24.10006:23.10007:23.10008:14.10009:11.10010:8.10012:27.10013:15.10014:10.10015:23.10017:24.10018:59.10019:66.10020:75.10021:76.100032:255.100041:394.10143:174.10030:164.10031:174.10036:139.10037:159
10012;Bahribaba;27,1273;38,41515;1;10001:52.10002:50.10005:38.10006:41.10007:45.10008:27.10009:37.10010:22.10011:27.10013:14.10014:21.10015:20.10017:51.10018:42.10019:42.10020:49.10021:51.100032:257.100041:376.10143:148.10030:140.10031:150.10036:128.10037:144
10013;Bahribaba;27,12741;38,41507;1;10001:47.10002:43.10005:33.10006:34.10007:36.10008:21.10009:26.10010:13.10011:15.10012:14.10014:7.10015:12.10017:39.10018:52.10019:55.10020:62.10021:65.100032:260.100041:388.10143:159.10030:153.10031:163.10036:137.10037:155
10014;Bahribaba;27,12747;38,41503;1;10001:46.10002:41.10005:32.10006:32.10007:33.10008:20.10009:21.10010:12.10011:10.10012:21.10013:7.10015:13.10017:33.10018:58.10019:62.10020:69.10021:72.100032:262.100041:394.10143:165.10030:161.10031:170.10036:142.10037:160
10015;Bahribaba;27,12736;38,41496;1;10001:59.10002:54.10005:44.10006:45.10007:46.10008:32.10009:34.10010:24.10011:23.10012:20.10013:12.10014:13.10017:45.10018:61.10019:61.10020:65.10021:70.100032:272.100041:396.10143:154.10030:158.10031:168.10036:147.10037:164
10017;Bahribaba;27,1278;38,41503;1;10001:36.10002:28.10005:30.10006:25.10007:18.10008:30.10009:14.10010:30.10011:24.10012:51.10013:39.10014:33.10015:45.10018:78.10019:89.10020:99.10021:99.100032:253.100041:409.10143:198.10030:185.10031:195.10036:150.10037:173
10018;Bahribaba;27,12723;38,41556;1;10001:56.10002:60.10005:50.10006:55.10007:63.10008:48.10009:64.10010:51.10011:59.10012:42.10013:52.10014:58.10015:61.10017:78.10019:22.10020:37.10021:29.10036:87.100032:223.100041:336.10143:149.10030:108.10031:118.10037:103
10019;Bahribaba;27,127029;38,415467;1;10001:74.10002:76.10005:65.10006:69.10007:77.10008:59.10009:74.10010:59.10011:66.10012:42.10013:55.10014:62.10015:61.10017:89.10018:22.10020:15.10021:10.10030:98.10036:99.100032:242.100041:336.10143:127.10031:108.10037:109
10020;Bahribaba;27,12689;38,41541;1;10001:87.10002:89.10005:77.10006:81.10007:89.10008:70.10009:84.10010:69.10011:75.10012:49.10013:62.10014:69.10015:65.10017:99.10018:37.10019:15.10021:12.10030:94.100032:254.100041:337.10143:112.10031:103.10036:109.10037:116
10021;Bahribaba;27,126945;38,415522;1;10001:83.10002:85.10005:74.10006:79.10007:87.10008:69.10009:84.10010:69.10011:76.10012:51.10013:65.10014:72.10015:70.10017:99.10018:29.10019:10.10020:12.10030:89.10031:99.10036:96.100032:242.100041:328.10143:121.10037:104
10030;Konak;27,12635;38,41618;1;10019:98.10020:94.10021:89.10031:11.10036:94.10037:75.100032:238.100041:249.10143:122.10002:167.10005:158.10006:163.10007:171.10008:155.10009:171.10010:157.10011:164.10012:140.10013:153.10014:161.10015:158.10017:185.10018:108.10001:162
10031;Konak;27,12625;38,41622;1;10021:99.10030:11.10037:82.100032:245.100041:243.10143:122.10002:177.10005:168.10006:173.10007:181.10008:165.10009:181.10010:167.10011:174.10012:150.10013:163.10014:170.10015:168.10017:195.10018:118.10019:108.10020:103.10036:103.10001:172
10036;Konak;27,12726;38,41643;1;10018:87.10019:99.10021:96.10030:94.10037:29.100032:152.100041:261.10143:197.10002:123.10005:120.10006:125.10007:132.10008:126.10009:140.10010:132.10011:139.10012:128.10013:137.10014:142.10015:147.10017:150.10020:109.10031:103.10001:115
10037;Konak;27,127;38,41656;1;10030:75.10031:82.10036:29.100032:163.100041:236.10143:189.10002:147.10005:143.10006:147.10007:155.10008:146.10009:162.10010:151.10011:159.10012:144.10013:155.10014:160.10015:164.10017:173.10018:103.10019:109.10020:116.10021:104.10001:140
10102;İskele;27,12788;38,41988;1;10103:237.100032:242.100041:241
10103;Belediye Sarayı;27,1297;38,4214;1;10102:237.100032:413.100041:477
10104;Sosyal Sigortalar Kurumu;27,13237;38,42524;1;10105:53.100044:337.10126:238.10127:147
10105;Sosyal Sigortalar Kurumu;27,13269;38,42566;1;10104:53.100044:296.10126:227.10127:158
10106;Dokuz Eylül Rektörlük;27,13586;38,4305;1;10107:216.100044:385
10107;Dokuz Eylül Rektörlük;27,13753;38,43187;1;10106:216
10108;Devlet Hastanesi;27,14124;38,43409;1;10109:97.100045:482
10109;Devlet Hastanesi;27,14213;38,43448;1;10108:97.100045:460
10110;Talatpaşa;27,14495;38,43572;1;10111:86.1000234:478
10111;Talatpaşa;27,14418;38,43534;1;10110:86.100045:488
10116;Hisarönü;27,132602;38,422579;1;10117:35.100033:434.10127:194
10117;Hisarönü;27,1323;38,4224;1;10116:35.100033:465.10127:225
10118;Kavaflar;27,13567;38,4226;1;10119:85.100033:128.10126:213
10119;Kavaflar;27,1365;38,4224;1;10118:85.100033:46
10120;Çankaya;27,13953;38,4225;1;10121:20.100033:259.100034:456.10123:197.10321:248
10121;Çankaya;27,13935;38,42242;1;10120:20.100033:241.100034:474.10123:215.10321:249
10123;Şifa;27,1415;38,4224;1;10120:197.10121:215.10128:171.10129:161.100033:456.100034:261
10126;Borsa;27,13461;38,42445;1;10104:238.10105:227.10118:213.10127:112.100033:304.100044:467
10127;Borsa;27,1335;38,4243;1;10126:112.10104:147.10105:158.10116:194.10117:225.100033:389.100044:443
10128;Çardak;27,14076;38,42394;1;10123:171.10129:33.100033:408.100034:354.10321:240
10129;Çardak;27,14054;38,42369;1;10123:161.10128:33.100033:379.100034:367.10321:230
10134;Üçkuyular Metro;27,071103;38,396582;1;10135:37.10182:91
10135;Üçkuyular Metro;27,07147;38,39662;1;10134:37.10182:93.10177:232
10143;Atatürk Kültür Merkezi;27,12582;38,41508;1;10001:196.10002:196.10005:184.10006:188.10007:193.10008:174.10009:185.10010:170.10011:174.10012:148.10013:159.10014:165.10015:154.10017:198.10018:149.10019:127.10020:112.10021:121.10030:122.10031:122.10036:197.10037:189.10240:244.12166:160.12167:148.100032:349.100041:353
10145;Kız Lisesi;27,122207;38,413241;1;10146:12
